CMDLINE /Users/localadmin/miniforge3/envs/splitting_env/bin/python3.9 ./setup_labeled_data.py
MEM 1076.390625 1725357566.5752
MEM 1065.281250 1725357566.6804
MEM 1054.609375 1725357566.7856
MEM 962.578125 1725357566.8908
MEM 955.125000 1725357566.9959
MEM 962.593750 1725357567.1011
MEM 957.046875 1725357567.2062
MEM 979.843750 1725357567.3102
MEM 948.906250 1725357567.4154
MEM 960.640625 1725357567.5205
MEM 941.125000 1725357567.6256
MEM 922.546875 1725357567.7308
MEM 918.343750 1725357567.8359
MEM 910.640625 1725357567.9411
MEM 933.531250 1725357568.0463
MEM 941.265625 1725357568.1515
MEM 960.203125 1725357568.2567
MEM 931.718750 1725357568.3588
MEM 948.140625 1725357568.4630
MEM 939.875000 1725357568.5682
MEM 959.812500 1725357568.6733
MEM 973.640625 1725357568.7743
MEM 963.687500 1725357568.8796
MEM 953.359375 1725357568.9829
MEM 973.687500 1725357569.0881
MEM 963.437500 1725357569.1919
MEM 996.500000 1725357569.2972
MEM 988.125000 1725357569.4024
MEM 1032.843750 1725357569.5076
MEM 1071.234375 1725357569.6128
MEM 1071.765625 1725357569.7179
MEM 1089.750000 1725357569.8231
MEM 1088.968750 1725357569.9344
MEM 1099.093750 1725357570.0388
MEM 1095.296875 1725357570.1426
MEM 1067.937500 1725357570.2467
MEM 1073.812500 1725357570.3518
MEM 1078.875000 1725357570.4540
MEM 1056.468750 1725357570.5560
MEM 1059.171875 1725357570.6561
MEM 1041.140625 1725357570.7588
MEM 1034.390625 1725357570.8606
MEM 963.156250 1725357570.9656
MEM 951.500000 1725357571.0681
MEM 938.640625 1725357571.1733
MEM 905.093750 1725357571.2784
MEM 889.546875 1725357571.3828
MEM 887.609375 1725357571.4879
MEM 866.265625 1725357571.5930
MEM 842.718750 1725357571.6974
MEM 843.593750 1725357571.7988
MEM 818.203125 1725357571.9039
MEM 794.250000 1725357572.0090
MEM 796.468750 1725357572.1131
MEM 770.328125 1725357572.2147
MEM 771.687500 1725357572.3161
MEM 746.875000 1725357572.4213
MEM 747.921875 1725357572.5242
MEM 724.046875 1725357572.6294
MEM 696.640625 1725357572.7345
MEM 675.406250 1725357572.8387
MEM 677.125000 1725357572.9439
MEM 678.671875 1725357573.0490
MEM 669.203125 1725357573.1537
MEM 671.296875 1725357573.2589
MEM 643.703125 1725357573.3640
MEM 618.484375 1725357573.4692
MEM 595.734375 1725357573.5744
MEM 570.093750 1725357573.6749
MEM 572.953125 1725357573.7789
MEM 547.468750 1725357573.8841
MEM 537.906250 1725357573.9872
MEM 528.734375 1725357574.0924
MEM 517.421875 1725357574.1975
MEM 479.687500 1725357574.3026
MEM 404.765625 1725357574.4069
MEM 420.875000 1725357574.5120
MEM 435.796875 1725357574.6172
MEM 474.765625 1725357574.7223
MEM 526.343750 1725357574.8276
MEM 532.250000 1725357574.9328
MEM 519.781250 1725357575.0363
MEM 536.656250 1725357575.1414
MEM 528.406250 1725357575.2460
MEM 551.734375 1725357575.3512
MEM 522.640625 1725357575.4564
MEM 529.546875 1725357575.5588
MEM 533.953125 1725357575.6641
MEM 530.015625 1725357575.7668
MEM 539.125000 1725357575.8720
MEM 544.562500 1725357575.9758
MEM 551.093750 1725357576.0809
MEM 556.734375 1725357576.1860
MEM 564.843750 1725357576.2864
MEM 571.750000 1725357576.3907
MEM 582.421875 1725357576.4959
MEM 600.859375 1725357576.6010
MEM 631.796875 1725357576.7062
MEM 665.296875 1725357576.8068
MEM 693.125000 1725357576.9119
MEM 726.312500 1725357577.0171
MEM 760.031250 1725357577.1215
MEM 790.093750 1725357577.2265
MEM 805.781250 1725357577.3316
MEM 809.953125 1725357577.4367
MEM 796.656250 1725357577.5418
MEM 782.921875 1725357577.6469
MEM 729.125000 1725357577.7480
MEM 728.546875 1725357577.8521
MEM 743.421875 1725357577.9535
MEM 729.281250 1725357578.0587
MEM 706.953125 1725357578.1616
MEM 716.562500 1725357578.2628
MEM 697.312500 1725357578.3681
MEM 711.281250 1725357578.4733
MEM 753.906250 1725357578.5775
MEM 766.031250 1725357578.6827
MEM 811.109375 1725357578.7855
MEM 832.000000 1725357578.8898
MEM 850.562500 1725357578.9949
MEM 838.375000 1725357579.1002
MEM 859.750000 1725357579.2007
MEM 885.531250 1725357579.3059
MEM 878.515625 1725357579.4111
MEM 865.390625 1725357579.5134
MEM 868.203125 1725357579.6175
MEM 869.531250 1725357579.7227
MEM 899.312500 1725357579.8277
MEM 879.390625 1725357579.9329
MEM 893.046875 1725357580.0339
MEM 900.359375 1725357580.1391
MEM 939.859375 1725357580.2442
MEM 955.625000 1725357580.3495
MEM 967.718750 1725357580.4512
MEM 991.546875 1725357580.5567
MEM 977.531250 1725357580.6618
MEM 977.406250 1725357580.7669
MEM 965.296875 1725357580.8721
MEM 944.859375 1725357580.9731
MEM 965.968750 1725357581.0734
MEM 950.890625 1725357581.1785
MEM 962.015625 1725357581.2789
MEM 928.234375 1725357581.3842
MEM 945.734375 1725357581.4894
MEM 984.453125 1725357581.5946
MEM 970.843750 1725357581.6996
MEM 1010.875000 1725357581.8041
MEM 1054.265625 1725357581.9073
MEM 1077.187500 1725357582.0121
MEM 1100.984375 1725357582.1126
MEM 1056.953125 1725357582.2175
MEM 1055.187500 1725357582.3227
MEM 1069.046875 1725357582.4279
MEM 1075.078125 1725357582.5330
MEM 1066.859375 1725357582.6361
MEM 1044.500000 1725357582.7413
MEM 1038.937500 1725357582.8450
MEM 1054.750000 1725357582.9503
MEM 975.765625 1725357583.0521
MEM 950.281250 1725357583.1566
MEM 937.484375 1725357583.2617
MEM 946.687500 1725357583.3669
MEM 936.265625 1725357583.4720
MEM 926.031250 1725357583.5748
MEM 928.953125 1725357583.6800
MEM 949.531250 1725357583.7831
MEM 934.640625 1725357583.8842
MEM 935.343750 1725357583.9873
MEM 929.250000 1725357584.0922
MEM 907.468750 1725357584.1974
MEM 950.656250 1725357584.3026
MEM 940.812500 1725357584.4078
MEM 951.671875 1725357584.5101
MEM 962.578125 1725357584.6153
MEM 963.187500 1725357584.7204
MEM 953.406250 1725357584.8256
MEM 992.593750 1725357584.9263
MEM 979.203125 1725357585.0310
MEM 991.187500 1725357585.1342
MEM 982.546875 1725357585.2387
MEM 990.500000 1725357585.3398
MEM 980.890625 1725357585.4450
MEM 984.812500 1725357585.5481
MEM 998.843750 1725357585.6533
MEM 1032.359375 1725357585.7585
MEM 1051.500000 1725357585.8639
MEM 1038.250000 1725357585.9690
MEM 1073.875000 1725357586.0694
MEM 1088.859375 1725357586.1722
MEM 1097.468750 1725357586.2735
MEM 1095.921875 1725357586.3788
MEM 1090.796875 1725357586.4841
MEM 1126.734375 1725357586.5893
MEM 1125.531250 1725357586.6924
MEM 1122.937500 1725357586.7976
MEM 1118.281250 1725357586.9029
MEM 1103.453125 1725357587.0040
MEM 1033.593750 1725357587.1092
MEM 977.250000 1725357587.2144
MEM 988.296875 1725357587.3188
MEM 993.765625 1725357587.4240
MEM 980.156250 1725357587.5243
MEM 968.437500 1725357587.6280
MEM 953.000000 1725357587.7293
MEM 928.625000 1725357587.8308
MEM 934.078125 1725357587.9311
MEM 912.906250 1725357588.0362
MEM 893.406250 1725357588.1410
MEM 897.625000 1725357588.2462
MEM 832.015625 1725357588.3515
MEM 830.078125 1725357588.4549
MEM 812.953125 1725357588.5570
MEM 800.890625 1725357588.6574
MEM 788.828125 1725357588.7588
MEM 810.968750 1725357588.8601
MEM 823.234375 1725357588.9617
MEM 837.578125 1725357589.0631
MEM 817.031250 1725357589.1682
MEM 794.859375 1725357589.2708
MEM 789.937500 1725357589.3721
MEM 813.500000 1725357589.4735
MEM 799.578125 1725357589.5786
MEM 833.765625 1725357589.6839
MEM 817.140625 1725357589.7890
MEM 797.687500 1725357589.8894
MEM 813.218750 1725357589.9946
MEM 855.218750 1725357590.0999
MEM 883.765625 1725357590.2041
MEM 902.328125 1725357590.3093
MEM 884.906250 1725357590.4120
MEM 897.796875 1725357590.5135
MEM 908.578125 1725357590.6156
MEM 942.656250 1725357590.7208
MEM 946.734375 1725357590.8259
MEM 948.187500 1725357590.9310
MEM 884.687500 1725357591.0361
MEM 907.921875 1725357591.1390
MEM 881.890625 1725357591.2441
MEM 864.078125 1725357591.3448
MEM 874.390625 1725357591.4467
MEM 866.078125 1725357591.5518
MEM 840.343750 1725357591.6538
MEM 811.562500 1725357591.7589
MEM 814.453125 1725357591.8628
MEM 803.328125 1725357591.9679
MEM 813.484375 1725357592.0682
MEM 763.078125 1725357592.1735
MEM 768.218750 1725357592.2785
MEM 766.859375 1725357592.3819
MEM 758.953125 1725357592.4870
MEM 772.609375 1725357592.5881
MEM 753.109375 1725357592.6932
MEM 723.812500 1725357592.7981
MEM 728.625000 1725357592.9033
MEM 723.234375 1725357593.0068
